song,artist,set,grade,extra,tab,bassless
cake by the ocean,dnce,1,1,--,https://www.youtube.com/watch?v=RHkDdZ12hPk, --
get lucky,daft punk,1,1,--,https://www.youtube.com/watch?v=gZKIM6o_hJo,https://youtu.be/vRxL8SRg8wk 
all summer long,kid rock,1,1,--,https://tabs.ultimate-guitar.com/tab/kid-rock/all-summer-long-bass-700301,--
9 to 5,dolly parton,1,1,--,https://www.youtube.com/watch?v=AeluNMvCYJs,--
la mamba,los lobos,1,1,--,https://www.youtube.com/watch?v=m5hFUC0GfMg,https://www.youtube.com/watch?v=B7lGQ8OV9Z8
fortunate son,creedence clearwater revival,1,1,--,https://www.youtube.com/watch?v=kH8e5raNIm0,https://www.youtube.com/watch?v=w5Mnkynv73c 
bad moon rising,creedence clearwater revival,1,1,--,https://www.youtube.com/watch?v=epoEvSk7JBI,--
crazy little thing called love,queen,1,1,--,https://www.youtube.com/watch?v=dRCPWguvt5w,https://www.youtube.com/watch?v=zSOkQOUhW8w 
twist and shout,the beatles,1,2,--,https://www.youtube.com/watch?v=hhEasVo7STE,--
play that funky music,wild cherry,1,1,--,https://www.youtube.com/watch?v=0RrPwG6F6a4,https://www.youtube.com/watch?v=Qm1M4TYXu5I 
disco inferno,the trammps,1,2,--,https://www.youtube.com/watch?v=7w29rEJMxBI,https://www.youtube.com/watch?v=eLSicpleCgw  
burning love,elvis presley,1,1,--,https://www.youtube.com/watch?v=MsH2HL6DR8c,https://www.youtube.com/watch?v=-CudDw5M6r0
hound dog,elvis presley,1,1,--,https://www.youtube.com/watch?v=vFRSxTAGHJ0,--
jailhouse rock,elvis presley,1,1,--,https://www.youtube.com/watch?v=FKDLXoa7cZU,--
johnny b good,chuck berry,1,1,--,https://www.youtube.com/watch?v=bm8_K5sOhDA,--
great balls of fire,jerry lee lewis,1,2,--,https://www.youtube.com/watch?v=E1UkA5aM8yE,--
saw her standing there,the beatles,1,1,--,https://www.youtube.com/watch?v=Dg4n-o7oa9s,https://www.youtube.com/watch?v=1AId9HOJV7o
soul banana,meerdere artiesten,1,3,--,--,--
summer of 69,bryan addams,2,1,--,https://www.youtube.com/watch?v=_Dg_0500RPs,https://www.youtube.com/watch?v=kS2rap1EJ-I 
long train running,the doobie brothers,2,1,--,https://www.youtube.com/watch?v=9TJyIVjTATg,https://www.youtube.com/watch?v=5F_OI0KP_QI
i want you to want me,cheap trick,2,1,--,--,-- 
girl,anouk,2,1,--,--,--
does your mother know,abba,2,1,--,--,--
90s medley,meerdere artiesten,2,3,--,--,--
bloem medley,meerdere artiesten,2,3,--,--,--
noodgeval,goldband,2,3,--,--,--
lets get it started,black eyed peas,2,1,--,https://www.youtube.com/watch?v=iz89AiRQhE0,https://www.youtube.com/watch?v=fMiJaxOAegU
ive got a feeling,black eyed peas,2,1,--,https://www.youtube.com/watch?v=Ae3Vv_6yoQE,--
shut up and dance with me,walk the moon,2,2,--,https://www.youtube.com/watch?v=65FjHzHjado,https://www.youtube.com/watch?v=wy_5uPvLTV8
dont stop believing,journey,2,1,--,https://www.youtube.com/watch?v=NKzu0U5f97s,https://www.youtube.com/watch?v=9EizBGJ5BeI
grease medley,meerdere artiesten,2,2,--,--,--
paradise by the dashboardlight,meatloaf,2,3,--,--,-- 
angels,robbie williams,2,1,--,--,https://www.youtube.com/watch?v=YUTMhh7jpx4
we will rock you,queen,2,0,--,--,--
we are the champions,queen,2,2,--,https://www.youtube.com/watch?v=_qOZ1R2aBio,https://www.youtube.com/watch?v=NNQYsVtSdTw
somebody to love,queen,2,2,--,https://www.youtube.com/watch?v=2ZpTJ68kKP0,https://www.youtube.com/watch?v=loW2Mf_tVUE
belle helene,doe maar,3,2,--,--,--
smoorverliefd,doe maar,3,1,--,--,--
dak af,peter koelewijn,3,2,--,--,--
marianneke,drukwerk,3,2,--,--,--
schijn n lichtje op mij,drukwerk,3,3,--,--,--
leef,andre hazes,3,2,--,--,--
sweet caroline,neil diamond,3,2,--,https://www.youtube.com/watch?v=8psVU-tBfDk,https://www.youtube.com/watch?v=7Nz-gcVm0iw
kan het niet alleen,de dijk,3,1,--,--,--
iedereen is van de wereld,the scene,3,1,--,--,--
stil in mij,van dik hout,3,2,--,--,--
proud mary,tina turner,3,1,--,https://www.youtube.com/watch?v=1gygBui5mmg,https://www.youtube.com/watch?v=JC-lXaSHkNI
satisfaction,the rolling stones,3,2,--,https://www.youtube.com/watch?v=5_sMso4ggYY,https://www.youtube.com/watch?v=JJ56iTCJa0I
born to be wild,steppenwolf,3,1,--,https://www.youtube.com/watch?v=0ARLoBnUV5A,https://www.youtube.com/watch?v=e0VjP5ttOp0 
twilight zone,golden earring,3,1,--,--,--
like the way i do,melissa etheridge,3,1,--,https://www.youtube.com/watch?v=pbJ7ETtimlM,--
sweet child,guns n roses,3,2,--,https://www.youtube.com/watch?v=6GUaQ_QfGUY,https://www.youtube.com/watch?v=P91YKrU2Cqw 
whole lotta rosie,ac/dc,3,2,tot solo,https://www.youtube.com/watch?v=fF4LY-oy9g0,-- 
highway to hell,ac/dc,3,2,--,https://www.youtube.com/watch?v=MSWwKX3W4y4,--
whats up,four non blondes,3,2,--,https://www.youtube.com/watch?v=v9HvylZZHps,https://www.youtube.com/watch?v=LpneKMRK6KA
hey jude,the beatles,3,2,--,https://www.youtube.com/watch?v=0MCrO_kLCOE,--
go your own way,fleetwood mac,3,2,--,https://www.youtube.com/watch?v=KRPv-jem8ck,--
